case_id,model_tier,model_version,strategy,prompt_version,seed,output_type,answer_text,citations,confidence,correct,citation_valid,input_tokens,fresh_input_tokens,cached_input_tokens,output_tokens,cost_usd,latency_ms,timestamp,raw_response_path,run_id,prompt_sha256,dataset_sha256,corpus_manifest_sha256,retrieved_passage_ids,attempt_count,raw_response_paths,requested_models,actual_models_used,system_fingerprints,finish_reasons,error_state,scoring_status,scoring_note,budget_guard_cost_usd,price_table_version,price_table_sha256
case_0001,cheap,gpt-5.4-nano-2026-03-17,self_check,base-v1.0.0+critic-v1.0.0,20260831,ANSWER,The credit provider has 30 calendar days to confirm the terms in writing after agreement is reached about a hardship notice or postponement of enforcement proceedings.,"[""asic_rg271-p0030-c002-952ebc764c25"", ""asic_rg271-p0022-c002-f82589af8eb4""]",0.98,,,6327,3511,2816,185,0.000989770000,2393,2026-08-31T07:25:24.937Z,results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0001/call-02-attempt-01.json,full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""asic_rg271-p0031-c001-6da530809372"", ""asic_rg271-p0030-c002-952ebc764c25"", ""asic_rg271-p0029-c002-d8812abaf76c"", ""asic_rg271-p0022-c001-c82f21d3ee0b"", ""asic_rg271-p0022-c002-f82589af8eb4"", ""asic_rg271-p0030-c001-01c8b4e666b6"", ""asic_rg271-p0052-c002-58484462157f"", ""asic_rg271-p0031-c002-9a36cf6e6c14""]",2,"[""results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0001/call-01-attempt-01.json"", ""results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0001/call-02-attempt-01.json""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]",[],"[""stop"", ""stop""]",,pending_manual_adjudication,manual answer and citation adjudication required,0.004280600000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0002,cheap,gpt-5.4-nano-2026-03-17,self_check,base-v1.0.0+critic-v1.0.0,20260831,ABSTAIN,,[],0.02,true,,7044,4228,2816,60,0.000976920000,2026,2026-08-31T07:25:26.965Z,results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0002/call-02-attempt-01.json,full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""asic_rg271-p0004-c001-fde204a5871a"", ""asic_rg271-p0009-c002-540bcd927e93"", ""asic_rg271-p0013-c001-a53d7d32bf80"", ""asic_rg271-p0013-c002-bb0917000e53"", ""asic_rg271-p0050-c001-37172ed0ad2c"", ""asic_rg271-p0007-c001-77021d86c294"", ""asic_rg271-p0053-c001-0efa030624cd"", ""fwo_dispute_resolution-p0004-c002-51dcb90360e5""]",2,"[""results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0002/call-01-attempt-01.json"", ""results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0002/call-02-attempt-01.json""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]",[],"[""stop"", ""stop""]",,deterministic,deterministic label,0.004424000000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0003,cheap,gpt-5.4-nano-2026-03-17,self_check,base-v1.0.0+critic-v1.0.0,20260831,ABSTAIN,,[],0.98,false,,6163,3347,2816,130,0.000888220000,2190,2026-08-31T07:25:29.157Z,results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0003/call-02-attempt-01.json,full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""fwo_dispute_resolution-p0011-c001-229dc07ce14d"", ""fwo_dispute_resolution-p0003-c001-1a4a5fb3c291"", ""fwo_dispute_resolution-p0007-c002-c040c04c278e"", ""fwo_dispute_resolution-p0010-c001-fcbb30ef4ad7"", ""fwo_dispute_resolution-p0010-c002-4f814531e440"", ""asic_rg271-p0025-c002-cf7e92ab69f7"", ""fwo_dispute_resolution-p0004-c001-b24117433e9a"", ""fwo_dispute_resolution-p0006-c002-8583247496db""]",2,"[""results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0003/call-01-attempt-01.json"", ""results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0003/call-02-attempt-01.json""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]",[],"[""stop"", ""stop""]",,deterministic,deterministic label,0.004247800000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0004,cheap,gpt-5.4-nano-2026-03-17,self_check,base-v1.0.0+critic-v1.0.0,20260831,ANSWER,"The financial firm that outsources part, or all, of its IDR process remains responsible for ensuring that the service provider’s IDR processes comply with all the requirements in the regulatory guide.","[""asic_rg271-p0018-c001-ed11096384df""]",0.98,,,7405,4589,2816,160,0.001174120000,2298,2026-08-31T07:25:31.456Z,results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0004/call-02-attempt-01.json,full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""asic_rg271-p0018-c001-ed11096384df"", ""asic_rg271-p0012-c001-c13258ebad5f"", ""asic_rg271-p0013-c001-a53d7d32bf80"", ""asic_rg271-p0040-c001-0b5747cb6d0a"", ""asic_rg271-p0033-c002-5f7f876bab63"", ""asic_rg271-p0007-c002-a9c843616e09"", ""asic_rg271-p0019-c001-fe57db53dd3b"", ""asic_rg271-p0008-c002-8f54c97d110a""]",2,"[""results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0004/call-01-attempt-01.json"", ""results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0004/call-02-attempt-01.json""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]",[],"[""stop"", ""stop""]",,pending_manual_adjudication,manual answer and citation adjudication required,0.004496200000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0005,cheap,gpt-5.4-nano-2026-03-17,self_check,base-v1.0.0+critic-v1.0.0,20260831,ABSTAIN,,[],0.05,true,,5572,3780,1792,60,0.000866840000,1862,2026-08-31T07:25:33.319Z,results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0005/call-02-attempt-01.json,full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""asic_rg271-p0032-c002-4ef82650a6b8"", ""asic_rg271-p0026-c002-c200df0eb4a7"", ""asic_rg271-p0015-c002-2970099de9f7"", ""asic_rg271-p0032-c001-61d82cea4a65"", ""asic_rg271-p0049-c001-daddc825fd02"", ""fwo_dispute_resolution-p0006-c002-8583247496db"", ""asic_rg271-p0023-c002-ff9992fc02f9"", ""asic_rg271-p0025-c002-cf7e92ab69f7""]",2,"[""results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0005/call-01-attempt-01.json"", ""results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0005/call-02-attempt-01.json""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]",[],"[""stop"", ""stop""]",,deterministic,deterministic label,0.004129600000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0006,cheap,gpt-5.4-nano-2026-03-17,self_check,base-v1.0.0+critic-v1.0.0,20260831,ANSWER,Potential beneficiaries have 28 calendar days to object to a proposed superannuation death-benefit distribution after receiving notice of the proposal.,"[""asic_rg271-p0027-c001-f6727674ec3d""]",0.99,,,6819,4003,2816,165,0.001063170000,2354,2026-08-31T07:25:35.675Z,results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0006/call-02-attempt-01.json,full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""asic_rg271-p0027-c001-f6727674ec3d"", ""asic_rg271-p0023-c002-ff9992fc02f9"", ""asic_rg271-p0022-c002-f82589af8eb4"", ""asic_rg271-p0023-c001-94f83792660d"", ""asic_rg271-p0014-c002-c83027a54f40"", ""asic_rg271-p0027-c002-6893af7f5030"", ""asic_rg271-p0028-c001-c4d0879b3776"", ""asic_rg271-p0022-c001-c82f21d3ee0b""]",2,"[""results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0006/call-01-attempt-01.json"", ""results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0006/call-02-attempt-01.json""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]",[],"[""stop"", ""stop""]",,pending_manual_adjudication,manual answer and citation adjudication required,0.004379000000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0007,cheap,gpt-5.4-nano-2026-03-17,self_check,base-v1.0.0+critic-v1.0.0,20260831,ABSTAIN,,[],0.12,true,,6962,4146,2816,60,0.000960520000,1783,2026-08-31T07:25:37.458Z,results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0007/call-02-attempt-01.json,full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""fwo_dispute_resolution-p0008-c001-d2801a834664"", ""asic_rg271-p0006-c001-9b566395d31b"", ""fwo_dispute_resolution-p0006-c001-f6b6301cc089"", ""asic_rg271-p0038-c002-6ac5a8d18495"", ""asic_rg271-p0052-c001-1646aff2d006"", ""asic_rg271-p0013-c002-bb0917000e53"", ""asic_rg271-p0006-c002-6520ea5bf079"", ""asic_rg271-p0051-c001-28781e95d91e""]",2,"[""results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0007/call-01-attempt-01.json"", ""results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0007/call-02-attempt-01.json""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]",[],"[""stop"", ""stop""]",,deterministic,deterministic label,0.004407600000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0008,cheap,gpt-5.4-nano-2026-03-17,self_check,base-v1.0.0+critic-v1.0.0,20260831,ABSTAIN,,[],0.0,true,,6334,3518,2816,60,0.000834920000,1641,2026-08-31T07:25:39.101Z,results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0008/call-02-attempt-01.json,full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""asic_rg271-p0020-c001-065c65220d78"", ""fwo_nes-p0002-c002-9e4b76a8c585"", ""asic_rg271-p0023-c002-ff9992fc02f9"", ""fwo_dispute_resolution-p0013-c001-d096fff26b96"", ""asic_rg271-p0023-c001-94f83792660d"", ""fwo_dispute_resolution-p0011-c001-229dc07ce14d"", ""asic_rg271-p0033-c002-5f7f876bab63"", ""asic_rg271-p0006-c002-6520ea5bf079""]",2,"[""results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0008/call-01-attempt-01.json"", ""results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0008/call-02-attempt-01.json""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]",[],"[""stop"", ""stop""]",,deterministic,deterministic label,0.004282000000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0009,cheap,gpt-5.4-nano-2026-03-17,self_check,base-v1.0.0+critic-v1.0.0,20260831,ANSWER,"The NES fact sheet summarises annual leave as “4 weeks of paid leave per year, plus an additional week for some shiftworkers.”","[""fwo_nes-p0001-c001-309168a0031e""]",0.98,,,6503,3687,2816,164,0.000998720000,2557,2026-08-31T07:25:41.660Z,results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0009/call-02-attempt-01.json,full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""fwo_nes-p0002-c001-ccbca03b65ab"", ""fwo_nes-p0001-c001-309168a0031e"", ""fwo_nes-p0001-c002-e38bf8c54211"", ""fwo_nes-p0002-c002-9e4b76a8c585"", ""fwo_dispute_resolution-p0006-c002-8583247496db"", ""asic_rg271-p0020-c001-065c65220d78"", ""asic_rg271-p0030-c002-952ebc764c25"", ""asic_rg271-p0020-c002-86e3cf74ff52""]",2,"[""results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0009/call-01-attempt-01.json"", ""results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0009/call-02-attempt-01.json""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]",[],"[""stop"", ""stop""]",,pending_manual_adjudication,manual answer and citation adjudication required,0.004315800000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0010,cheap,gpt-5.4-nano-2026-03-17,self_check,base-v1.0.0+critic-v1.0.0,20260831,ABSTAIN,,[],0.0,true,,6880,4064,2816,60,0.000944120000,2535,2026-08-31T07:25:44.195Z,results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0010/call-02-attempt-01.json,full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""asic_rg271-p0032-c001-61d82cea4a65"", ""asic_rg271-p0032-c002-4ef82650a6b8"", ""asic_rg271-p0049-c001-daddc825fd02"", ""asic_rg271-p0015-c002-2970099de9f7"", ""asic_rg271-p0015-c001-29fdc2ba5f4c"", ""asic_rg271-p0014-c001-2450831dba3b"", ""asic_rg271-p0037-c001-bf404fb626f9"", ""asic_rg271-p0020-c001-065c65220d78""]",2,"[""results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0010/call-01-attempt-01.json"", ""results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0010/call-02-attempt-01.json""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]",[],"[""stop"", ""stop""]",,deterministic,deterministic label,0.004391200000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0011,cheap,gpt-5.4-nano-2026-03-17,self_check,base-v1.0.0+critic-v1.0.0,20260831,ANSWER,"A manager should prepare by considering: what they are trying to achieve; whether they are prepared and have all the right information and useful examples; when and where the conversation will happen (timely and somewhere both feel comfortable); whether they are calm; whether they can allow the employee to steer the conversation (within reason); whether they are prepared to listen and consider all points of view; and whether they have thought about possible resolutions. When the dispute is caused by organisational change, good communication and a consultative approach should be used to minimise conflict, including creating a strategy to communicate with employees about the change (what the changes are, who will communicate, when to communicate, how to communicate, and what input employees can have).","[""fwo_dispute_resolution-p0006-c001-f6b6301cc089"", ""fwo_dispute_resolution-p0006-c002-8583247496db""]",0.98,,,7088,4272,2816,417,0.001431970000,3622,2026-08-31T07:25:47.819Z,results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0011/call-02-attempt-01.json,full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""fwo_dispute_resolution-p0006-c001-f6b6301cc089"", ""fwo_dispute_resolution-p0005-c001-96e1de939bfe"", ""fwo_dispute_resolution-p0006-c002-8583247496db"", ""fwo_dispute_resolution-p0009-c001-20723c6f1697"", ""fwo_dispute_resolution-p0004-c001-b24117433e9a"", ""fwo_dispute_resolution-p0008-c002-dec9ca7c9c5d"", ""fwo_dispute_resolution-p0011-c001-229dc07ce14d"", ""fwo_dispute_resolution-p0010-c001-fcbb30ef4ad7""]",2,"[""results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0011/call-01-attempt-01.json"", ""results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0011/call-02-attempt-01.json""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]",[],"[""stop"", ""stop""]",,pending_manual_adjudication,manual answer and citation adjudication required,0.004432800000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0012,cheap,gpt-5.4-nano-2026-03-17,self_check,base-v1.0.0+critic-v1.0.0,20260831,INVALID,,[],,false,false,7260,4444,2816,141,0.001121370000,2470,2026-08-31T07:25:50.291Z,results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0012/call-02-attempt-01.json,full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""asic_rg271-p0017-c001-05cc26714675"", ""asic_rg271-p0017-c002-b24515dc5302"", ""asic_rg271-p0034-c001-be168118166b"", ""asic_rg271-p0050-c002-58216895d77b"", ""asic_rg271-p0024-c001-b4bba4141d6f"", ""asic_rg271-p0021-c001-eedd18e219b1"", ""asic_rg271-p0006-c001-9b566395d31b"", ""asic_rg271-p0027-c001-f6727674ec3d""]",2,"[""results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0012/call-01-attempt-01.json"", ""results/raw/full_r3_v1__cheap__self_check__1b1581710af2__af282e540fce/case_0012/call-02-attempt-01.json""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]",[],"[""stop"", ""stop""]",invalid_contract:answer_fields,deterministic,invalid model output,0.004467200000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
