case_id,model_tier,model_version,strategy,prompt_version,seed,output_type,answer_text,citations,confidence,correct,citation_valid,input_tokens,fresh_input_tokens,cached_input_tokens,output_tokens,cost_usd,latency_ms,timestamp,raw_response_path,run_id,prompt_sha256,dataset_sha256,corpus_manifest_sha256,retrieved_passage_ids,attempt_count,raw_response_paths,requested_models,actual_models_used,system_fingerprints,finish_reasons,error_state,scoring_status,scoring_note,budget_guard_cost_usd,price_table_version,price_table_sha256
case_0001,cheap,gpt-5.4-nano-2026-03-17,escalation,base-v1.0.0+fallback-v1.0.0,20260831,ANSWER,The credit provider has 30 calendar days to confirm the terms in writing after agreement is reached about a hardship notice (RG 271.99–RG 271.100).,"[""asic_rg271-p0022-c002-f82589af8eb4"", ""asic_rg271-p0030-c002-952ebc764c25""]",0.9,,,3132,316,2816,96,0.000239520000,1117,2026-08-31T06:50:22.050Z,results/raw/full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0001/call-01-attempt-01.json,full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a,9d564a17727a9a389e6f0e3ef8d9395ac7376e1a033f078f37abdc7ae3cef915,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""asic_rg271-p0031-c001-6da530809372"", ""asic_rg271-p0030-c002-952ebc764c25"", ""asic_rg271-p0029-c002-d8812abaf76c"", ""asic_rg271-p0022-c001-c82f21d3ee0b"", ""asic_rg271-p0022-c002-f82589af8eb4"", ""asic_rg271-p0030-c001-01c8b4e666b6"", ""asic_rg271-p0052-c002-58484462157f"", ""asic_rg271-p0031-c002-9a36cf6e6c14""]",1,"[""results/raw/full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0001/call-01-attempt-01.json""]","[""gpt-5.4-nano-2026-03-17""]","[""gpt-5.4-nano-2026-03-17""]",[],"[""stop""]",,pending_manual_adjudication,manual answer and citation adjudication required,0.002134000000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0002,cheap,gpt-5.4-nano-2026-03-17,escalation,base-v1.0.0+fallback-v1.0.0,20260831,ABSTAIN,,[],0.0,true,,7015,4199,2816,60,0.000971120000,2078,2026-08-31T06:50:24.133Z,results/raw/full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0002/call-02-attempt-01.json,full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a,9d564a17727a9a389e6f0e3ef8d9395ac7376e1a033f078f37abdc7ae3cef915,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""asic_rg271-p0004-c001-fde204a5871a"", ""asic_rg271-p0009-c002-540bcd927e93"", ""asic_rg271-p0013-c001-a53d7d32bf80"", ""asic_rg271-p0013-c002-bb0917000e53"", ""asic_rg271-p0050-c001-37172ed0ad2c"", ""asic_rg271-p0007-c001-77021d86c294"", ""asic_rg271-p0053-c001-0efa030624cd"", ""fwo_dispute_resolution-p0004-c002-51dcb90360e5""]",2,"[""results/raw/full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0002/call-01-attempt-01.json"", ""results/raw/full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0002/call-02-attempt-01.json""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]",[],"[""stop"", ""stop""]",,deterministic,deterministic label,0.004418200000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0003,cheap,gpt-5.4-nano-2026-03-17,escalation,base-v1.0.0+fallback-v1.0.0,20260831,ANSWER,"It depends on the type of dispute resolution: in conciliation, the conciliator helps the parties negotiate in an informal setting to identify if there is a solution, whereas in arbitration an independent and impartial person listens to each side and then makes a decision that’s binding on everyone.","[""fwo_dispute_resolution-p0011-c001-229dc07ce14d""]",0.86,,,3047,231,2816,101,0.000228770000,1532,2026-08-31T06:50:25.670Z,results/raw/full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0003/call-01-attempt-01.json,full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a,9d564a17727a9a389e6f0e3ef8d9395ac7376e1a033f078f37abdc7ae3cef915,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""fwo_dispute_resolution-p0011-c001-229dc07ce14d"", ""fwo_dispute_resolution-p0003-c001-1a4a5fb3c291"", ""fwo_dispute_resolution-p0007-c002-c040c04c278e"", ""fwo_dispute_resolution-p0010-c001-fcbb30ef4ad7"", ""fwo_dispute_resolution-p0010-c002-4f814531e440"", ""asic_rg271-p0025-c002-cf7e92ab69f7"", ""fwo_dispute_resolution-p0004-c001-b24117433e9a"", ""fwo_dispute_resolution-p0006-c002-8583247496db""]",1,"[""results/raw/full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0003/call-01-attempt-01.json""]","[""gpt-5.4-nano-2026-03-17""]","[""gpt-5.4-nano-2026-03-17""]",[],"[""stop""]",,pending_manual_adjudication,manual answer and citation adjudication required,0.002117000000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0004,cheap,gpt-5.4-nano-2026-03-17,escalation,base-v1.0.0+fallback-v1.0.0,20260831,ANSWER,"The financial firm that outsources part, or all, of its IDR process remains responsible for ensuring that the service provider’s IDR processes comply with all the requirements in the regulatory guide.","[""asic_rg271-p0018-c001-ed11096384df""]",0.98,,,3678,862,2816,80,0.000328720000,1038,2026-08-31T06:50:26.712Z,results/raw/full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0004/call-01-attempt-01.json,full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a,9d564a17727a9a389e6f0e3ef8d9395ac7376e1a033f078f37abdc7ae3cef915,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""asic_rg271-p0018-c001-ed11096384df"", ""asic_rg271-p0012-c001-c13258ebad5f"", ""asic_rg271-p0013-c001-a53d7d32bf80"", ""asic_rg271-p0040-c001-0b5747cb6d0a"", ""asic_rg271-p0033-c002-5f7f876bab63"", ""asic_rg271-p0007-c002-a9c843616e09"", ""asic_rg271-p0019-c001-fe57db53dd3b"", ""asic_rg271-p0008-c002-8f54c97d110a""]",1,"[""results/raw/full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0004/call-01-attempt-01.json""]","[""gpt-5.4-nano-2026-03-17""]","[""gpt-5.4-nano-2026-03-17""]",[],"[""stop""]",,pending_manual_adjudication,manual answer and citation adjudication required,0.002243200000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0005,cheap,gpt-5.4-nano-2026-03-17,escalation,base-v1.0.0+fallback-v1.0.0,20260831,ABSTAIN,,[],0.98,true,,5543,3751,1792,60,0.000861040000,1907,2026-08-31T06:50:28.621Z,results/raw/full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0005/call-02-attempt-01.json,full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a,9d564a17727a9a389e6f0e3ef8d9395ac7376e1a033f078f37abdc7ae3cef915,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""asic_rg271-p0032-c002-4ef82650a6b8"", ""asic_rg271-p0026-c002-c200df0eb4a7"", ""asic_rg271-p0015-c002-2970099de9f7"", ""asic_rg271-p0032-c001-61d82cea4a65"", ""asic_rg271-p0049-c001-daddc825fd02"", ""fwo_dispute_resolution-p0006-c002-8583247496db"", ""asic_rg271-p0023-c002-ff9992fc02f9"", ""asic_rg271-p0025-c002-cf7e92ab69f7""]",2,"[""results/raw/full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0005/call-01-attempt-01.json"", ""results/raw/full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0005/call-02-attempt-01.json""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]",[],"[""stop"", ""stop""]",,deterministic,deterministic label,0.004123800000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0006,cheap,gpt-5.4-nano-2026-03-17,escalation,base-v1.0.0+fallback-v1.0.0,20260831,ANSWER,Potential beneficiaries have 28 calendar days to object to a proposed superannuation death-benefit distribution after receiving notice of the proposal. (RG 271.80: “they may object to the proposal within 28 calendar days of receiving it”.),"[""asic_rg271-p0027-c001-f6727674ec3d""]",0.98,,,3378,562,2816,95,0.000287470000,1177,2026-08-31T06:50:29.802Z,results/raw/full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0006/call-01-attempt-01.json,full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a,9d564a17727a9a389e6f0e3ef8d9395ac7376e1a033f078f37abdc7ae3cef915,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""asic_rg271-p0027-c001-f6727674ec3d"", ""asic_rg271-p0023-c002-ff9992fc02f9"", ""asic_rg271-p0022-c002-f82589af8eb4"", ""asic_rg271-p0023-c001-94f83792660d"", ""asic_rg271-p0014-c002-c83027a54f40"", ""asic_rg271-p0027-c002-6893af7f5030"", ""asic_rg271-p0028-c001-c4d0879b3776"", ""asic_rg271-p0022-c001-c82f21d3ee0b""]",1,"[""results/raw/full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0006/call-01-attempt-01.json""]","[""gpt-5.4-nano-2026-03-17""]","[""gpt-5.4-nano-2026-03-17""]",[],"[""stop""]",,pending_manual_adjudication,manual answer and citation adjudication required,0.002183200000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0007,cheap,gpt-5.4-nano-2026-03-17,escalation,base-v1.0.0+fallback-v1.0.0,20260831,ABSTAIN,,[],0.2,true,,6933,4117,2816,60,0.000954720000,2087,2026-08-31T06:50:31.892Z,results/raw/full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0007/call-02-attempt-01.json,full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a,9d564a17727a9a389e6f0e3ef8d9395ac7376e1a033f078f37abdc7ae3cef915,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""fwo_dispute_resolution-p0008-c001-d2801a834664"", ""asic_rg271-p0006-c001-9b566395d31b"", ""fwo_dispute_resolution-p0006-c001-f6b6301cc089"", ""asic_rg271-p0038-c002-6ac5a8d18495"", ""asic_rg271-p0052-c001-1646aff2d006"", ""asic_rg271-p0013-c002-bb0917000e53"", ""asic_rg271-p0006-c002-6520ea5bf079"", ""asic_rg271-p0051-c001-28781e95d91e""]",2,"[""results/raw/full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0007/call-01-attempt-01.json"", ""results/raw/full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0007/call-02-attempt-01.json""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]",[],"[""stop"", ""stop""]",,deterministic,deterministic label,0.004401800000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0008,cheap,gpt-5.4-nano-2026-03-17,escalation,base-v1.0.0+fallback-v1.0.0,20260831,ABSTAIN,,[],0.0,true,,6305,3489,2816,60,0.000829120000,2065,2026-08-31T06:50:33.961Z,results/raw/full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0008/call-02-attempt-01.json,full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a,9d564a17727a9a389e6f0e3ef8d9395ac7376e1a033f078f37abdc7ae3cef915,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""asic_rg271-p0020-c001-065c65220d78"", ""fwo_nes-p0002-c002-9e4b76a8c585"", ""asic_rg271-p0023-c002-ff9992fc02f9"", ""fwo_dispute_resolution-p0013-c001-d096fff26b96"", ""asic_rg271-p0023-c001-94f83792660d"", ""fwo_dispute_resolution-p0011-c001-229dc07ce14d"", ""asic_rg271-p0033-c002-5f7f876bab63"", ""asic_rg271-p0006-c002-6520ea5bf079""]",2,"[""results/raw/full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0008/call-01-attempt-01.json"", ""results/raw/full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0008/call-02-attempt-01.json""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]",[],"[""stop"", ""stop""]",,deterministic,deterministic label,0.004276200000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0009,cheap,gpt-5.4-nano-2026-03-17,escalation,base-v1.0.0+fallback-v1.0.0,20260831,ANSWER,"The NES fact sheet summarises annual leave as “4 weeks of paid leave per year, plus an additional week for some shiftworkers.”","[""fwo_nes-p0001-c001-309168a0031e""]",0.98,,,3222,406,2816,73,0.000228770000,1247,2026-08-31T06:50:35.213Z,results/raw/full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0009/call-01-attempt-01.json,full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a,9d564a17727a9a389e6f0e3ef8d9395ac7376e1a033f078f37abdc7ae3cef915,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""fwo_nes-p0002-c001-ccbca03b65ab"", ""fwo_nes-p0001-c001-309168a0031e"", ""fwo_nes-p0001-c002-e38bf8c54211"", ""fwo_nes-p0002-c002-9e4b76a8c585"", ""fwo_dispute_resolution-p0006-c002-8583247496db"", ""asic_rg271-p0020-c001-065c65220d78"", ""asic_rg271-p0030-c002-952ebc764c25"", ""asic_rg271-p0020-c002-86e3cf74ff52""]",1,"[""results/raw/full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0009/call-01-attempt-01.json""]","[""gpt-5.4-nano-2026-03-17""]","[""gpt-5.4-nano-2026-03-17""]",[],"[""stop""]",,pending_manual_adjudication,manual answer and citation adjudication required,0.002152000000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0010,cheap,gpt-5.4-nano-2026-03-17,escalation,base-v1.0.0+fallback-v1.0.0,20260831,INVALID,,[],,false,false,6851,4035,2816,58,0.000935820000,1973,2026-08-31T06:50:37.192Z,results/raw/full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0010/call-02-attempt-01.json,full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a,9d564a17727a9a389e6f0e3ef8d9395ac7376e1a033f078f37abdc7ae3cef915,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""asic_rg271-p0032-c001-61d82cea4a65"", ""asic_rg271-p0032-c002-4ef82650a6b8"", ""asic_rg271-p0049-c001-daddc825fd02"", ""asic_rg271-p0015-c002-2970099de9f7"", ""asic_rg271-p0015-c001-29fdc2ba5f4c"", ""asic_rg271-p0014-c001-2450831dba3b"", ""asic_rg271-p0037-c001-bf404fb626f9"", ""asic_rg271-p0020-c001-065c65220d78""]",2,"[""results/raw/full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0010/call-01-attempt-01.json"", ""results/raw/full_r2_v1__cheap__escalation__1b1581710af2__9d564a17727a/case_0010/call-02-attempt-01.json""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]","[""gpt-5.4-nano-2026-03-17"", ""gpt-5.4-nano-2026-03-17""]",[],"[""stop"", ""stop""]",invalid_contract:answer_fields,deterministic,invalid model output,0.004385400000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
